ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Eastern,4141446,Children overweight,10.5,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WHP,104236060,I,408005,1408050,Region,Eastern,0,,0,1,CNNUTSCWHP,GHDHS1993408005,1993,DHS,200,200,,,1
GHA,Ashanti,5844729,Children overweight,1.9,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WHP,104236060,I,408006,1408060,Region,Ashanti,0,,0,1,CNNUTSCWHP,GHDHS1993408006,1993,DHS,324,324,,,1
GHA,Brong-Ahafo,34439,Children overweight,1.1,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WHP,104236060,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,CNNUTSCWHP,GHDHS1993408007,1993,DHS,185,185,,,1
GHA,"Northern, Upper West, Upper East",6078927,Children overweight,1.1,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WHP,104236060,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,CNNUTSCWHP,GHDHS1993408008,1993,DHS,374,374,,,
GHA,Northern (pre 2022),58188,Children overweight,1.7,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WHP,104236060,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,CNNUTSCWHP,GHDHS1993408009,1993,DHS,179,179,,,1
GHA,Upper West,5589026,Children overweight,0,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WHP,104236060,I,408010,1408100,Region,..Upper West,0,,0,1,CNNUTSCWHP,GHDHS1993408010,1993,DHS,61,61,,,1
GHA,Upper East,3592567,Children overweight,0.7,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WHP,104236060,I,408011,1408110,Region,..Upper East,0,,0,1,CNNUTSCWHP,GHDHS1993408011,1993,DHS,134,134,,,1
GHA,Western (pre 2022),7354109,Mean weight for height of children,-0.6,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WHM,104236070,I,408001,1408010,Region,Western (pre 2022),0,,0,1,CNNUTSCWHM,GHDHS1993408001,1993,DHS,169,169,,,1
GHA,Central,50121,Mean weight for height of children,-0.5,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WHM,104236070,I,408002,1408020,Region,Central,0,,0,1,CNNUTSCWHM,GHDHS1993408002,1993,DHS,196,196,,,1
GHA,Greater Accra,4427104,Mean weight for height of children,-0.4,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WHM,104236070,I,408003,1408030,Region,Greater Accra,0,,0,1,CNNUTSCWHM,GHDHS1993408003,1993,DHS,180,180,,,1
